feature,score,score_std,input_value,intercept,policy_type,feature_type
DriverRating,0.08303693508779732,0.018720878850691482,1.0,-1.1953441249017134,All Perils,numeric
DriverRating,0.1548806118559295,0.021875091265250828,2.0,-1.1953441249017134,All Perils,numeric
DriverRating,0.12781492871957276,0.020453057083964665,3.0,-1.1953441249017134,All Perils,numeric
DriverRating,-0.4115704273217645,0.04418877445485645,4.0,-1.1953441249017134,All Perils,numeric
Make,0.4092210348506295,0.06717786128793928,Accura,-1.1953441249017134,All Perils,category
Make,0.09093620579655315,0.2534697947472193,BMW,-1.1953441249017134,All Perils,category
Make,-0.1986528658132643,0.04028628884023158,Chevrolet,-1.1953441249017134,All Perils,category
Make,-0.18859858713152597,0.06431772521339697,Dodge,-1.1953441249017134,All Perils,category
Make,-0.3049711973435777,0.06356350371390626,Ford,-1.1953441249017134,All Perils,category
Make,-0.4749876881900828,0.07380297543008432,Honda,-1.1953441249017134,All Perils,category
Make,-0.4269851502199731,0.08099605072976376,Jaguar,-1.1953441249017134,All Perils,category
Make,-0.1714162022668673,0.03651197762238232,Mazda,-1.1953441249017134,All Perils,category
Make,-0.21445533141379444,0.11411603172643678,Mecedes,-1.1953441249017134,All Perils,category
Make,-0.17529787341172012,0.10551119426116011,Mercury,-1.1953441249017134,All Perils,category
Make,-0.15400963254571984,0.15380708325652084,Nisson,-1.1953441249017134,All Perils,category
Make,0.3209245576797905,0.026537586507779935,Pontiac,-1.1953441249017134,All Perils,category
Make,0.28641577705679516,0.08262364239972458,Porche,-1.1953441249017134,All Perils,category
Make,0.36820412096900734,0.1454647982739943,Saab,-1.1953441249017134,All Perils,category
Make,-0.15049196827072997,0.1730334471926629,Saturn,-1.1953441249017134,All Perils,category
Make,-0.004523648559938772,0.034440076981507924,Toyota,-1.1953441249017134,All Perils,category
Make,-0.48316062494957374,0.14789929504908653,VW,-1.1953441249017134,All Perils,category
VehiclePrice_num,-0.5558651669109409,0.029886829887712366,30000 to 59000,-1.1953441249017134,All Perils,category
VehiclePrice_num,0.14059347175936923,0.018275682977512135,less than 30000,-1.1953441249017134,All Perils,category
VehiclePrice_num,-0.03143740261847276,0.04886572115254428,more than 60000,-1.1953441249017134,All Perils,category
VehicleCategory,0.0023578301794218324,0.002091517122878577,Sedan,-1.1953441249017134,All Perils,category
VehicleCategory,-1.9715426126259128,0.6123951511423554,Sport,-1.1953441249017134,All Perils,category
VehicleCategory,0.07199425128684794,0.024247094957377906,Utility,-1.1953441249017134,All Perils,category
AgeOfVehicle,-4.0063952061895804,1.8140360231020218,2 years,-1.1953441249017134,All Perils,category
AgeOfVehicle,-0.7607443775779404,0.1753590303693376,3 years,-1.1953441249017134,All Perils,category
AgeOfVehicle,-1.0008447281471948,0.2744744841870383,4 years,-1.1953441249017134,All Perils,category
AgeOfVehicle,-0.32961242659032375,0.06771366201141348,5 years,-1.1953441249017134,All Perils,category
AgeOfVehicle,0.1990514418110314,0.05174838306119593,6 years,-1.1953441249017134,All Perils,category
AgeOfVehicle,0.06015042587777537,0.030103477717369792,7 years,-1.1953441249017134,All Perils,category
AgeOfVehicle,-0.01454611782093496,0.02190149153064698,more than 7,-1.1953441249017134,All Perils,category
AgeOfVehicle,-0.10514718168469878,0.3452212591112811,new,-1.1953441249017134,All Perils,category
Sex,-0.6467199737061681,0.07790095082680573,Female,-1.1953441249017134,All Perils,category
Sex,0.07648138041031743,0.00921259972900933,Male,-1.1953441249017134,All Perils,category
MaritalStatus,-0.5445650999123293,0.29068692838753457,Divorced,-1.1953441249017134,All Perils,category
MaritalStatus,0.04484539209535396,0.0158236563745117,Married,-1.1953441249017134,All Perils,category
